sample_id,filename,fold,target,category,esc10,noise_type,noise_level_db,exposure_duration_hours,hour_of_day,day_of_week,hrv_score,sleep_quality_score,stress_level,cognitive_impact,fatigue_level,mental_health_impact,risk_category
2-104877-A-3,2-104877-A-3.wav,2,3,cow,False,natural,62.61,1.78,19,6,84.41,8.84,1.0,1.1,1.15,2.73,Low
2-104952-A-16,2-104952-A-16.wav,2,16,wind,False,natural,61.23,0.57,10,0,88.61,8.55,1.27,1.0,1.39,1.47,Low
2-104952-B-16,2-104952-B-16.wav,2,16,wind,False,natural,50.4,2.6,22,6,88.12,9.13,1.47,1.0,1.12,4.83,Low
2-105270-A-47,2-105270-A-47.wav,2,47,airplane,False,aircraft,93.43,0.28,1,1,87.67,8.93,1.26,1.11,1.0,8.8,Low
2-106014-A-44,2-106014-A-44.wav,2,44,engine,False,traffic,73.29,12.0,6,2,70.68,7.07,2.35,2.36,2.1,21.01,Low
2-106015-A-44,2-106015-A-44.wav,2,44,engine,False,traffic,102.12,6.77,0,1,59.29,7.16,4.12,3.36,3.54,38.0,Moderate
2-106015-B-44,2-106015-B-44.wav,2,44,engine,False,traffic,92.38,4.91,3,0,56.66,6.32,2.53,2.6,2.63,28.65,Moderate
2-106019-A-13,2-106019-A-13.wav,2,13,crickets,False,natural,25.79,0.18,17,5,85.16,7.53,1.0,1.5,1.0,4.26,Low
2-106072-A-36,2-106072-A-36.wav,2,36,vacuum_cleaner,False,human_activity,88.15,1.72,8,3,76.0,8.63,2.46,1.09,1.7,11.8,Low
2-106073-A-36,2-106073-A-36.wav,2,36,vacuum_cleaner,False,human_activity,79.0,0.92,22,6,85.74,8.17,1.33,1.0,1.0,9.42,Low
2-106486-A-44,2-106486-A-44.wav,2,44,engine,False,traffic,95.85,7.44,22,6,64.23,6.82,4.35,4.31,3.48,40.2,Moderate
2-106487-A-44,2-106487-A-44.wav,2,44,engine,False,traffic,98.19,12.0,18,2,64.69,6.14,3.12,4.25,3.45,44.7,Moderate
2-106849-A-47,2-106849-A-47.wav,2,47,airplane,False,aircraft,75.52,0.21,22,1,93.41,8.26,1.14,1.39,1.0,7.34,Low
2-106881-A-39,2-106881-A-39.wav,2,39,glass_breaking,False,human_activity,86.63,0.24,14,2,86.48,7.94,1.0,1.59,1.24,8.38,Low
2-107228-A-44,2-107228-A-44.wav,2,44,engine,False,traffic,87.74,12.0,14,5,67.39,7.27,4.19,2.59,2.8,36.32,Moderate
2-107228-B-44,2-107228-B-44.wav,2,44,engine,False,traffic,89.53,12.0,0,4,58.88,6.57,3.99,3.69,3.19,40.27,Moderate
2-107351-A-20,2-107351-A-20.wav,2,20,crying_baby,True,human_activity,89.15,0.5,18,4,74.37,9.17,1.76,1.26,1.0,8.01,Low
2-107351-B-20,2-107351-B-20.wav,2,20,crying_baby,True,human_activity,85.93,1.49,9,3,75.83,8.52,2.0,1.65,1.52,15.71,Low
2-108017-A-24,2-108017-A-24.wav,2,24,coughing,False,human_activity,89.57,0.92,3,1,84.14,8.12,1.0,1.11,1.36,6.18,Low
2-108760-A-14,2-108760-A-14.wav,2,14,chirping_birds,False,natural,55.77,1.31,4,5,83.36,9.29,2.02,1.0,1.0,1.74,Low
2-108760-B-14,2-108760-B-14.wav,2,14,chirping_birds,False,natural,34.49,3.07,11,6,79.34,9.79,1.0,1.0,1.24,0.21,Low
2-108761-A-14,2-108761-A-14.wav,2,14,chirping_birds,False,natural,37.1,0.47,3,6,87.3,8.49,1.0,1.0,1.0,4.13,Low
2-108763-A-9,2-108763-A-9.wav,2,9,crow,False,natural,76.79,2.28,7,4,86.9,9.17,1.0,1.0,1.02,8.28,Low
2-108766-A-9,2-108766-A-9.wav,2,9,crow,False,natural,80.25,1.69,7,0,87.84,7.99,1.0,1.18,1.0,5.58,Low
2-108767-A-9,2-108767-A-9.wav,2,9,crow,False,natural,67.3,0.34,14,3,93.99,8.24,1.0,1.0,1.21,1.41,Low
2-108767-B-9,2-108767-B-9.wav,2,9,crow,False,natural,85.72,1.16,19,2,84.17,8.8,1.0,1.0,1.0,2.48,Low
2-108767-C-9,2-108767-C-9.wav,2,9,crow,False,natural,76.28,1.77,7,0,84.73,8.12,1.0,1.58,1.58,7.54,Low
2-109231-A-9,2-109231-A-9.wav,2,9,crow,False,natural,71.28,0.11,10,0,86.8,8.37,1.2,1.11,2.37,8.21,Low
2-109231-B-9,2-109231-B-9.wav,2,9,crow,False,natural,78.52,1.3,17,2,91.28,9.25,1.38,1.0,1.47,4.69,Low
2-109231-C-9,2-109231-C-9.wav,2,9,crow,False,natural,83.34,3.6,16,2,90.37,7.82,1.0,1.39,1.04,5.25,Low
2-109316-A-32,2-109316-A-32.wav,2,32,keyboard_typing,False,human_activity,51.89,0.41,15,5,80.06,8.18,2.09,1.0,1.58,7.64,Low
2-109371-A-16,2-109371-A-16.wav,2,16,wind,False,natural,69.04,12.0,11,5,89.71,8.47,1.0,2.02,1.0,5.12,Low
2-109371-B-16,2-109371-B-16.wav,2,16,wind,False,natural,33.0,7.46,9,6,81.99,8.61,1.0,1.22,1.24,5.24,Low
2-109371-C-16,2-109371-C-16.wav,2,16,wind,False,natural,26.55,5.17,20,3,79.74,8.49,1.47,1.0,1.0,6.48,Low
2-109371-D-16,2-109371-D-16.wav,2,16,wind,False,natural,36.82,0.84,18,6,88.88,9.01,1.0,1.0,1.17,2.07,Low
2-109374-A-16,2-109374-A-16.wav,2,16,wind,False,natural,58.25,1.96,8,5,88.4,8.75,1.0,1.0,1.74,6.1,Low
2-109505-A-21,2-109505-A-21.wav,2,21,sneezing,True,human_activity,57.84,1.48,22,5,88.01,8.71,1.13,1.53,1.72,3.42,Low
2-109759-A-26,2-109759-A-26.wav,2,26,laughing,False,human_activity,81.53,3.19,5,0,90.7,6.38,1.07,1.0,2.15,12.17,Low
2-109759-B-26,2-109759-B-26.wav,2,26,laughing,False,human_activity,85.49,1.84,16,4,78.04,7.59,2.03,1.25,1.64,11.31,Low
2-110010-A-5,2-110010-A-5.wav,2,5,cat,False,natural,50.33,0.14,18,1,79.48,9.29,1.0,1.0,1.48,0.0,Low
2-110011-A-5,2-110011-A-5.wav,2,5,cat,False,natural,74.11,0.64,6,6,83.06,9.28,1.0,1.0,1.18,2.66,Low
2-110417-A-28,2-110417-A-28.wav,2,28,snoring,False,human_activity,59.92,1.44,0,3,83.34,8.4,1.0,1.88,1.44,3.35,Low
2-110417-B-28,2-110417-B-28.wav,2,28,snoring,False,human_activity,60.95,0.57,1,0,89.9,8.61,1.21,1.0,1.2,4.2,Low
2-110613-A-13,2-110613-A-13.wav,2,13,crickets,False,natural,36.55,6.17,11,6,86.41,8.12,1.0,1.0,1.0,3.71,Low
2-110614-A-8,2-110614-A-8.wav,2,8,sheep,False,natural,50.35,2.04,8,4,89.6,8.08,1.33,1.1,1.29,3.25,Low
2-110614-B-8,2-110614-B-8.wav,2,8,sheep,False,natural,73.28,0.85,20,0,81.14,8.76,1.21,1.19,1.0,6.29,Low
2-112213-A-39,2-112213-A-39.wav,2,39,glass_breaking,False,human_activity,79.74,1.14,5,0,83.45,7.62,1.36,1.29,1.0,2.22,Low
2-112213-B-39,2-112213-B-39.wav,2,39,glass_breaking,False,human_activity,68.28,0.59,13,2,91.42,8.39,1.39,1.0,1.22,6.03,Low
2-114254-A-30,2-114254-A-30.wav,2,30,door_wood_knock,False,human_activity,54.36,1.02,20,1,92.44,8.87,1.0,1.0,1.08,2.31,Low
2-114280-A-0,2-114280-A-0.wav,2,0,dog,True,natural,59.44,1.9,12,3,86.43,8.43,1.0,1.52,1.26,0.56,Low
2-114587-A-0,2-114587-A-0.wav,2,0,dog,True,natural,77.16,5.55,0,0,84.57,7.76,1.08,1.56,1.0,9.63,Low
2-114609-A-28,2-114609-A-28.wav,2,28,snoring,False,human_activity,69.04,0.57,12,5,82.97,8.82,1.86,2.19,1.0,4.88,Low
2-114609-B-28,2-114609-B-28.wav,2,28,snoring,False,human_activity,61.79,1.4,14,1,76.09,8.42,1.14,1.85,1.0,9.47,Low
2-116400-A-0,2-116400-A-0.wav,2,0,dog,True,natural,77.8,7.11,15,5,92.38,7.74,1.0,1.8,1.22,9.53,Low
2-117116-A-37,2-117116-A-37.wav,2,37,clock_alarm,False,human_activity,78.7,3.18,13,3,73.0,7.7,1.27,1.0,1.32,8.86,Low
2-117271-A-0,2-117271-A-0.wav,2,0,dog,True,natural,72.95,1.59,23,2,86.75,7.56,1.34,1.0,1.0,6.72,Low
2-117330-A-28,2-117330-A-28.wav,2,28,snoring,False,human_activity,63.29,0.25,9,0,84.56,8.83,1.46,1.0,1.0,2.45,Low
2-117615-A-48,2-117615-A-48.wav,2,48,fireworks,False,human_activity,118.58,7.11,13,0,54.72,7.97,3.46,3.37,2.06,37.03,Moderate
2-117615-B-48,2-117615-B-48.wav,2,48,fireworks,False,human_activity,126.59,0.41,22,3,81.55,7.91,1.37,1.0,1.0,11.18,Low
2-117615-C-48,2-117615-C-48.wav,2,48,fireworks,False,human_activity,120.71,0.16,22,4,83.66,8.86,1.0,1.53,2.13,1.15,Low
2-117615-D-48,2-117615-D-48.wav,2,48,fireworks,False,human_activity,130.0,1.85,12,0,70.38,7.81,2.37,3.63,2.48,21.36,Low
2-117615-E-48,2-117615-E-48.wav,2,48,fireworks,False,human_activity,116.85,0.16,17,5,89.81,8.01,1.34,1.0,1.36,11.36,Low
2-117616-A-48,2-117616-A-48.wav,2,48,fireworks,False,human_activity,110.23,0.38,0,4,82.68,8.35,1.0,1.1,1.22,10.69,Low
2-117617-A-48,2-117617-A-48.wav,2,48,fireworks,False,human_activity,108.88,1.19,1,0,74.69,7.65,2.26,1.65,2.18,15.82,Low
2-117625-A-10,2-117625-A-10.wav,2,10,rain,True,natural,50.87,2.64,15,2,81.71,8.84,1.21,1.0,1.0,1.34,Low
2-117795-A-3,2-117795-A-3.wav,2,3,cow,False,natural,64.83,0.12,10,6,81.78,9.66,1.0,1.0,1.0,2.64,Low
2-117795-B-3,2-117795-B-3.wav,2,3,cow,False,natural,69.08,6.79,21,1,90.17,8.13,1.23,1.0,1.0,10.31,Low
2-118072-A-0,2-118072-A-0.wav,2,0,dog,True,natural,75.45,12.0,4,1,87.25,7.63,1.35,1.65,1.19,11.37,Low
2-118104-A-21,2-118104-A-21.wav,2,21,sneezing,True,human_activity,64.87,1.4,12,4,80.52,8.83,1.0,1.29,1.26,5.44,Low
2-118459-A-32,2-118459-A-32.wav,2,32,keyboard_typing,False,human_activity,31.22,0.68,5,5,91.76,7.88,1.0,1.16,1.63,1.65,Low
2-118459-B-32,2-118459-B-32.wav,2,32,keyboard_typing,False,human_activity,48.47,1.06,17,0,82.07,8.98,1.0,1.71,1.0,7.35,Low
2-118624-A-30,2-118624-A-30.wav,2,30,door_wood_knock,False,human_activity,57.1,1.17,20,3,84.27,7.75,1.0,1.28,1.0,6.88,Low
2-118625-A-30,2-118625-A-30.wav,2,30,door_wood_knock,False,human_activity,51.6,3.76,1,6,82.91,7.6,1.0,1.0,1.0,0.2,Low
2-118817-A-32,2-118817-A-32.wav,2,32,keyboard_typing,False,human_activity,46.71,0.95,1,3,75.84,8.62,1.0,1.7,2.1,6.92,Low
2-118964-A-0,2-118964-A-0.wav,2,0,dog,True,natural,54.58,0.57,15,6,89.63,8.6,1.36,1.45,1.0,3.21,Low
2-119102-A-21,2-119102-A-21.wav,2,21,sneezing,True,human_activity,68.07,0.5,18,4,88.63,8.51,1.83,1.58,1.15,3.86,Low
2-119139-A-31,2-119139-A-31.wav,2,31,mouse_click,False,human_activity,39.47,0.51,10,1,89.32,8.52,1.0,2.0,1.0,6.63,Low
2-119161-A-8,2-119161-A-8.wav,2,8,sheep,False,natural,69.07,10.34,4,6,74.75,7.24,2.09,1.28,1.11,8.61,Low
2-119161-B-8,2-119161-B-8.wav,2,8,sheep,False,natural,67.44,3.11,6,0,77.85,7.77,1.49,1.13,1.15,10.55,Low
2-119161-C-8,2-119161-C-8.wav,2,8,sheep,False,natural,67.35,5.34,7,6,76.98,8.46,1.0,1.0,1.53,8.07,Low
2-119748-A-38,2-119748-A-38.wav,2,38,clock_tick,True,human_activity,31.82,1.13,10,0,94.88,8.14,1.0,1.0,1.0,7.44,Low
2-120218-A-30,2-120218-A-30.wav,2,30,door_wood_knock,False,human_activity,55.21,0.52,19,1,79.9,8.61,1.0,1.0,1.12,7.09,Low
2-120218-B-30,2-120218-B-30.wav,2,30,door_wood_knock,False,human_activity,55.69,0.87,15,4,81.5,8.75,1.6,1.05,1.58,5.84,Low
2-120333-A-32,2-120333-A-32.wav,2,32,keyboard_typing,False,human_activity,40.43,2.08,19,5,87.16,8.42,1.21,1.35,1.47,8.29,Low
2-120586-A-6,2-120586-A-6.wav,2,6,hen,False,natural,70.33,0.98,21,2,84.25,8.65,1.29,1.25,1.0,4.36,Low
2-120587-A-6,2-120587-A-6.wav,2,6,hen,False,natural,77.98,3.15,4,1,78.8,8.6,1.36,1.0,1.3,0.95,Low
2-121909-A-35,2-121909-A-35.wav,2,35,washing_machine,False,human_activity,76.53,3.93,5,1,87.82,8.21,1.53,1.13,1.46,14.49,Low
2-121978-A-29,2-121978-A-29.wav,2,29,drinking_sipping,False,human_activity,38.68,1.07,5,2,84.72,8.83,1.0,1.28,1.0,4.9,Low
2-122066-A-45,2-122066-A-45.wav,2,45,train,False,traffic,92.97,0.76,10,6,79.4,7.68,1.98,1.31,1.0,12.84,Low
2-122066-B-45,2-122066-B-45.wav,2,45,train,False,traffic,88.51,1.07,16,4,77.12,7.37,1.86,2.03,1.13,14.28,Low
2-122067-A-45,2-122067-A-45.wav,2,45,train,False,traffic,79.62,0.1,19,3,92.64,7.87,1.0,1.5,1.0,6.28,Low
2-122067-B-45,2-122067-B-45.wav,2,45,train,False,traffic,71.96,3.15,19,3,87.19,8.69,1.66,1.35,1.0,12.75,Low
2-122104-A-0,2-122104-A-0.wav,2,0,dog,True,natural,86.5,1.47,6,1,87.6,8.61,1.0,2.62,1.0,9.16,Low
2-122104-B-0,2-122104-B-0.wav,2,0,dog,True,natural,50.71,0.24,6,0,86.99,8.07,1.0,1.0,1.23,4.39,Low
2-122616-A-14,2-122616-A-14.wav,2,14,chirping_birds,False,natural,49.12,12.0,12,0,85.35,8.4,1.0,1.0,1.15,0.75,Low
2-122763-A-29,2-122763-A-29.wav,2,29,drinking_sipping,False,human_activity,41.58,1.02,5,0,63.57,8.13,2.18,1.18,1.25,6.02,Low
2-122763-B-29,2-122763-B-29.wav,2,29,drinking_sipping,False,human_activity,48.24,1.94,6,5,85.81,8.27,1.06,1.0,1.34,5.37,Low
2-122820-A-36,2-122820-A-36.wav,2,36,vacuum_cleaner,False,human_activity,74.06,0.43,11,5,73.97,8.97,1.0,1.0,1.14,3.27,Low
2-122820-B-36,2-122820-B-36.wav,2,36,vacuum_cleaner,False,human_activity,82.68,2.39,7,3,77.04,8.14,2.55,1.03,1.26,9.85,Low
2-123712-A-33,2-123712-A-33.wav,2,33,door_wood_creaks,False,human_activity,58.46,1.28,23,1,87.26,8.22,1.0,1.0,1.74,1.61,Low
2-123896-A-24,2-123896-A-24.wav,2,24,coughing,False,human_activity,63.11,0.6,22,2,79.01,8.25,1.78,1.12,1.0,7.11,Low
2-124564-A-15,2-124564-A-15.wav,2,15,water_drops,False,natural,35.36,2.8,5,3,92.56,8.2,1.62,1.09,1.0,3.94,Low
2-124662-A-11,2-124662-A-11.wav,2,11,sea_waves,True,natural,58.31,3.36,14,5,81.64,7.96,1.92,1.44,1.0,7.35,Low
2-125520-A-43,2-125520-A-43.wav,2,43,car_horn,False,traffic,105.21,12.0,12,6,53.06,6.41,4.9,4.42,3.97,55.58,High
2-125821-A-13,2-125821-A-13.wav,2,13,crickets,False,natural,28.3,1.17,3,4,87.14,7.26,1.26,1.36,1.02,8.57,Low
2-125875-A-13,2-125875-A-13.wav,2,13,crickets,False,natural,35.91,6.43,13,1,84.37,7.99,1.02,1.0,1.2,2.07,Low
2-125966-A-11,2-125966-A-11.wav,2,11,sea_waves,True,natural,62.82,8.57,6,5,88.87,8.24,1.0,1.0,1.87,2.89,Low
2-126433-A-17,2-126433-A-17.wav,2,17,pouring_water,False,natural,47.64,1.26,3,3,89.1,7.03,1.02,1.91,1.87,7.96,Low
2-126756-A-29,2-126756-A-29.wav,2,29,drinking_sipping,False,human_activity,34.63,1.22,3,1,75.21,8.81,1.0,1.11,1.0,7.31,Low
2-127108-A-38,2-127108-A-38.wav,2,38,clock_tick,True,human_activity,30.08,0.81,9,1,81.02,7.92,1.0,1.43,1.0,10.58,Low
2-127109-A-6,2-127109-A-6.wav,2,6,hen,False,natural,75.5,0.4,4,1,81.98,9.3,2.4,1.0,1.57,0.0,Low
2-128465-A-43,2-128465-A-43.wav,2,43,car_horn,False,traffic,88.04,1.17,8,1,75.37,7.48,1.72,1.64,1.69,16.21,Low
2-128465-B-43,2-128465-B-43.wav,2,43,car_horn,False,traffic,111.37,9.98,17,0,51.06,5.81,5.44,5.64,4.24,58.79,High
2-128631-A-21,2-128631-A-21.wav,2,21,sneezing,True,human_activity,61.29,3.81,5,2,84.52,7.19,1.67,2.59,1.41,14.81,Low
2-130245-A-34,2-130245-A-34.wav,2,34,can_opening,False,human_activity,65.37,0.5,21,6,81.4,8.43,1.0,1.14,1.06,6.36,Low
2-130978-A-21,2-130978-A-21.wav,2,21,sneezing,True,human_activity,58.88,1.69,5,2,91.67,8.02,1.0,1.07,1.0,3.06,Low
2-130979-A-21,2-130979-A-21.wav,2,21,sneezing,True,human_activity,74.75,0.97,10,5,96.5,8.6,1.0,1.0,1.29,8.1,Low
2-131943-A-38,2-131943-A-38.wav,2,38,clock_tick,True,human_activity,25.0,1.85,11,1,83.18,8.37,1.19,1.0,1.0,4.59,Low
2-132157-A-11,2-132157-A-11.wav,2,11,sea_waves,True,natural,54.75,1.05,0,1,79.41,7.34,1.04,1.0,1.47,5.86,Low
2-132157-B-11,2-132157-B-11.wav,2,11,sea_waves,True,natural,50.91,2.25,23,3,90.46,9.02,1.0,1.0,1.31,3.45,Low
2-133863-A-11,2-133863-A-11.wav,2,11,sea_waves,True,natural,69.81,7.85,2,4,75.53,9.05,1.32,1.0,1.24,5.66,Low
2-133889-A-30,2-133889-A-30.wav,2,30,door_wood_knock,False,human_activity,81.43,0.75,12,3,75.48,8.13,1.0,1.57,1.0,11.6,Low
2-134049-A-6,2-134049-A-6.wav,2,6,hen,False,natural,67.08,12.0,6,0,85.51,8.89,1.0,1.33,1.72,2.7,Low
2-134700-A-38,2-134700-A-38.wav,2,38,clock_tick,True,human_activity,25.97,0.64,15,6,79.11,8.18,1.44,1.47,1.0,3.34,Low
2-134915-A-30,2-134915-A-30.wav,2,30,door_wood_knock,False,human_activity,61.18,1.96,23,6,89.75,8.52,1.0,1.0,1.0,7.84,Low
2-135649-A-45,2-135649-A-45.wav,2,45,train,False,traffic,98.76,0.78,18,0,83.3,8.52,2.3,1.12,1.0,10.1,Low
2-135649-B-45,2-135649-B-45.wav,2,45,train,False,traffic,91.65,0.67,17,1,81.43,8.46,1.25,3.14,1.54,14.79,Low
2-135649-C-45,2-135649-C-45.wav,2,45,train,False,traffic,118.45,0.26,17,0,78.76,7.98,1.5,2.8,2.4,10.71,Low
2-135728-A-38,2-135728-A-38.wav,2,38,clock_tick,True,human_activity,32.83,0.34,17,1,78.27,9.15,1.0,1.0,1.62,1.73,Low
2-135860-A-49,2-135860-A-49.wav,2,49,hand_saw,False,construction,91.76,9.68,22,4,51.01,5.81,4.18,4.21,4.48,50.09,High
2-137162-A-11,2-137162-A-11.wav,2,11,sea_waves,True,natural,49.86,0.84,1,1,83.5,8.43,1.43,1.0,1.41,2.59,Low
2-138257-A-31,2-138257-A-31.wav,2,31,mouse_click,False,human_activity,25.93,1.97,3,2,82.81,7.94,1.05,1.0,1.0,6.6,Low
2-138465-A-43,2-138465-A-43.wav,2,43,car_horn,False,traffic,107.55,6.06,7,3,62.95,6.1,3.84,3.63,3.05,46.05,Moderate
2-139748-A-15,2-139748-A-15.wav,2,15,water_drops,False,natural,29.99,12.0,0,5,84.95,9.14,2.06,1.0,1.0,4.87,Low
2-139748-B-15,2-139748-B-15.wav,2,15,water_drops,False,natural,29.17,3.24,1,6,76.32,9.22,1.0,1.0,1.42,2.42,Low
2-139749-A-15,2-139749-A-15.wav,2,15,water_drops,False,natural,28.48,1.29,9,3,92.14,8.99,1.03,1.17,1.31,0.46,Low
2-140147-A-38,2-140147-A-38.wav,2,38,clock_tick,True,human_activity,28.46,0.23,21,2,81.5,7.58,1.0,1.0,1.0,6.18,Low
2-140841-A-30,2-140841-A-30.wav,2,30,door_wood_knock,False,human_activity,62.84,3.17,1,0,84.7,8.14,1.0,1.0,1.0,8.57,Low
2-141563-A-39,2-141563-A-39.wav,2,39,glass_breaking,False,human_activity,83.42,1.15,11,0,78.7,9.07,1.58,1.0,1.33,4.43,Low
2-141584-A-38,2-141584-A-38.wav,2,38,clock_tick,True,human_activity,25.94,1.04,16,4,83.38,8.21,1.85,1.03,1.43,8.4,Low
2-141681-A-36,2-141681-A-36.wav,2,36,vacuum_cleaner,False,human_activity,78.09,1.36,9,0,77.65,9.02,1.0,1.64,1.0,4.6,Low
2-141681-B-36,2-141681-B-36.wav,2,36,vacuum_cleaner,False,human_activity,72.46,3.29,21,0,78.89,7.75,1.09,1.09,1.18,15.94,Low
2-141682-A-36,2-141682-A-36.wav,2,36,vacuum_cleaner,False,human_activity,86.6,0.45,5,4,92.81,8.0,1.0,1.0,1.16,9.33,Low
2-141682-B-36,2-141682-B-36.wav,2,36,vacuum_cleaner,False,human_activity,80.09,0.46,22,5,79.15,8.13,1.0,1.0,1.55,4.1,Low
2-144031-A-34,2-144031-A-34.wav,2,34,can_opening,False,human_activity,51.07,1.85,8,3,85.85,8.53,1.0,1.71,1.24,2.88,Low
2-144137-A-43,2-144137-A-43.wav,2,43,car_horn,False,traffic,86.39,0.89,21,0,78.07,7.61,1.32,2.12,1.23,12.91,Low
2-146877-A-31,2-146877-A-31.wav,2,31,mouse_click,False,human_activity,36.79,0.74,4,0,84.29,8.04,1.0,1.25,1.47,7.58,Low
2-146877-B-31,2-146877-B-31.wav,2,31,mouse_click,False,human_activity,31.03,2.27,5,6,88.88,8.75,1.0,1.0,1.0,2.23,Low
2-151079-A-20,2-151079-A-20.wav,2,20,crying_baby,True,human_activity,91.4,0.56,7,6,89.71,8.23,1.18,1.18,1.08,9.14,Low
2-152895-A-31,2-152895-A-31.wav,2,31,mouse_click,False,human_activity,30.45,3.71,7,6,89.56,8.77,2.29,1.0,1.0,3.53,Low
2-152964-A-31,2-152964-A-31.wav,2,31,mouse_click,False,human_activity,34.6,1.31,19,1,81.2,9.3,1.1,1.0,1.0,0.0,Low
2-153388-A-31,2-153388-A-31.wav,2,31,mouse_click,False,human_activity,33.48,3.13,23,0,88.15,8.01,1.0,1.28,1.0,6.85,Low
2-154688-A-31,2-154688-A-31.wav,2,31,mouse_click,False,human_activity,31.35,1.94,4,5,90.49,9.89,1.0,1.0,1.0,0.52,Low
2-155801-A-11,2-155801-A-11.wav,2,11,sea_waves,True,natural,71.76,0.19,10,3,83.6,9.25,1.0,1.06,1.39,0.0,Low
2-157488-A-6,2-157488-A-6.wav,2,6,hen,False,natural,70.58,3.09,14,1,92.92,8.06,1.84,1.17,1.01,11.32,Low
2-158746-A-2,2-158746-A-2.wav,2,2,pig,False,natural,70.03,5.98,6,2,84.92,8.86,1.84,1.0,1.25,6.05,Low
2-158746-B-2,2-158746-B-2.wav,2,2,pig,False,natural,74.66,8.44,15,2,83.59,8.38,1.2,1.0,1.28,5.83,Low
2-158746-C-2,2-158746-C-2.wav,2,2,pig,False,natural,100.62,2.72,4,1,87.05,8.92,1.0,1.0,2.15,5.34,Low
2-158746-D-2,2-158746-D-2.wav,2,2,pig,False,natural,80.53,7.1,17,3,82.42,8.93,1.53,1.4,1.13,5.67,Low
2-160128-A-7,2-160128-A-7.wav,2,7,insects,False,natural,49.31,1.21,11,1,80.49,8.99,2.02,1.7,1.0,4.22,Low
2-160888-A-47,2-160888-A-47.wav,2,47,airplane,False,aircraft,97.85,0.23,9,5,74.66,8.5,1.3,1.0,1.0,8.45,Low
2-165801-A-48,2-165801-A-48.wav,2,48,fireworks,False,human_activity,109.91,1.24,19,3,71.9,7.68,2.47,1.7,1.01,15.46,Low
2-166644-A-2,2-166644-A-2.wav,2,2,pig,False,natural,92.9,3.92,3,1,79.86,8.06,1.0,1.73,1.31,11.83,Low
2-166644-B-2,2-166644-B-2.wav,2,2,pig,False,natural,84.24,4.99,3,2,85.11,8.99,1.0,2.42,1.88,6.72,Low
2-166644-C-2,2-166644-C-2.wav,2,2,pig,False,natural,76.71,0.23,0,2,81.67,8.19,1.54,1.03,1.0,0.0,Low
2-173559-A-39,2-173559-A-39.wav,2,39,glass_breaking,False,human_activity,69.04,1.27,15,2,88.78,8.71,1.47,1.0,2.29,7.07,Low
2-173607-A-39,2-173607-A-39.wav,2,39,glass_breaking,False,human_activity,85.11,1.69,18,4,75.17,7.89,1.78,1.97,1.9,10.65,Low
2-173618-A-39,2-173618-A-39.wav,2,39,glass_breaking,False,human_activity,75.65,0.63,7,2,77.8,7.54,1.0,2.29,1.0,8.22,Low
2-182508-A-8,2-182508-A-8.wav,2,8,sheep,False,natural,79.61,0.24,14,3,88.94,9.69,1.0,1.46,1.0,4.68,Low
2-182508-B-8,2-182508-B-8.wav,2,8,sheep,False,natural,63.92,6.08,0,4,84.81,9.53,1.0,1.01,1.0,2.77,Low
2-184077-A-49,2-184077-A-49.wav,2,49,hand_saw,False,construction,99.01,8.32,0,3,51.76,5.56,4.32,5.16,3.57,57.91,High
2-18766-A-12,2-18766-A-12.wav,2,12,crackling_fire,True,natural,49.21,0.87,8,4,88.08,8.63,1.0,1.0,1.0,3.5,Low
2-18766-B-12,2-18766-B-12.wav,2,12,crackling_fire,True,natural,46.65,2.95,2,5,86.63,9.11,1.0,1.0,1.28,1.53,Low
2-188822-A-40,2-188822-A-40.wav,2,40,helicopter,True,aircraft,119.79,0.27,22,1,78.77,7.77,1.56,1.23,1.54,13.05,Low
2-188822-B-40,2-188822-B-40.wav,2,40,helicopter,True,aircraft,108.27,0.35,22,4,77.24,7.72,2.02,1.97,1.0,17.84,Low
2-188822-C-40,2-188822-C-40.wav,2,40,helicopter,True,aircraft,106.02,0.29,12,5,87.44,7.57,1.58,1.27,1.0,10.7,Low
2-188822-D-40,2-188822-D-40.wav,2,40,helicopter,True,aircraft,101.96,0.26,23,3,77.68,7.82,1.98,2.16,2.18,12.56,Low
2-196688-A-8,2-196688-A-8.wav,2,8,sheep,False,natural,68.16,12.0,22,0,77.38,8.56,1.15,1.0,1.17,3.75,Low
2-205966-A-16,2-205966-A-16.wav,2,16,wind,False,natural,56.91,10.75,14,0,85.83,8.12,1.58,1.78,1.0,4.79,Low
2-209471-A-25,2-209471-A-25.wav,2,25,footsteps,False,human_activity,54.52,5.13,21,1,86.93,8.7,1.24,1.0,1.0,4.22,Low
2-209472-A-25,2-209472-A-25.wav,2,25,footsteps,False,human_activity,49.94,0.59,7,0,89.12,9.07,1.0,1.0,1.08,0.0,Low
2-209473-A-25,2-209473-A-25.wav,2,25,footsteps,False,human_activity,51.18,2.48,10,1,88.54,9.13,1.93,1.04,1.21,2.49,Low
2-209474-A-25,2-209474-A-25.wav,2,25,footsteps,False,human_activity,45.1,1.77,10,3,83.6,8.35,1.0,1.0,1.0,5.49,Low
2-209475-A-25,2-209475-A-25.wav,2,25,footsteps,False,human_activity,59.57,0.99,20,0,83.84,8.29,1.0,1.21,1.0,4.35,Low
